Sample:	Donor	Staining	Electroporation	Live/CCR7+ CD45RO+ | Freq. of Parent	Live/CCR7+ CD45RO- | Freq. of Parent	Live/CCR7- CD45RO+ | Freq. of Parent	Live/CCR7- CD45RO- | Freq. of Parent	Live/CD69+ CD25+ | Freq. of Parent	Live/CD69+ CD25- | Freq. of Parent	Live/CD69- CD25+ | Freq. of Parent	Live/CD69- CD25- | Freq. of Parent	Live/Plasmid+ | Freq. of Parent	Live/Plasmid+/CCR7+ CD45RO+ | Freq. of Parent	Live/Plasmid+/CCR7+ CD45RO- | Freq. of Parent	Live/Plasmid+/CCR7- CD45RO+ | Freq. of Parent	Live/Plasmid+/CCR7- CD45RO- | Freq. of Parent	Live/Plasmid+/CD69+ CD25+ | Freq. of Parent	Live/Plasmid+/CD69+ CD25- | Freq. of Parent	Live/Plasmid+/CD69- CD25+ | Freq. of Parent	Live/Plasmid+/CD69- CD25- | Freq. of Parent	Live/Plasmid- | Freq. of Parent	Live/Plasmid-/CCR7+ CD45RO+ | Freq. of Parent	Live/Plasmid-/CCR7+ CD45RO- | Freq. of Parent	Live/Plasmid-/CCR7- CD45RO+ | Freq. of Parent	Live/Plasmid-/CCR7- CD45RO- | Freq. of Parent	Live/Plasmid-/CD69+ CD25+ | Freq. of Parent	Live/Plasmid-/CD69+ CD25- | Freq. of Parent	Live/Plasmid-/CD69- CD25+ | Freq. of Parent	Live/Plasmid-/CD69- CD25- | Freq. of Parent
D30-DNA-S1.fcs	Donor 30	Activation status	NDG plasmid	0.63	1.2	12.8	85.4	2.22	12.5	5.54	79.7	78.7	0.77	1.3	13.2	84.7	2.68	13.5	5.13	78.7	21.3	0.12	0.86	11.2	87.8	0.51	8.95	7.06	83.5
D30-DNA-S2.fcs	Donor 30	Naive status	NDG plasmid	35.6	19.7	40.6	4.13	0.028	5.16E-03	72.5	27.5	78.8	38.5	14.4	43	4.08	0.035	5.73E-03	78.3	21.6	21.2	24.6	39.7	31.4	4.33	3.04E-03	3.04E-03	50.8	49.2
D30-NODNA-S1.fcs	Donor 30	Activation status	no DNA	0.6	1.48	11.6	86.3	1.84	13.6	5.41	79.1	1.78E-03	33.3	33.3	33.3	0	33.3	66.7	0	0	100	0.6	1.48	11.6	86.3	1.84	13.6	5.41	79.1
D30-NODNA-S2.fcs	Donor 30	Naive status	no DNA	36.4	19	40.3	4.29	0.027	4.23E-03	73.1	26.8	2.41E-03	50	0	0	50	0	25	0	75	100	36.4	19	40.3	4.29	0.027	3.62E-03	73.1	26.8
D31-DNA-S1.fcs	Donor 31	Activation status	NDG plasmid	0.67	1.23	10	88.1	2.42	17.8	4.8	75	79.3	0.84	1.4	10.9	86.8	2.97	19.3	4.81	72.9	20.7	0.023	0.56	6.72	92.7	0.32	11.9	4.75	83.1
D31-DNA-S2.fcs	Donor 31	Naive status	NDG plasmid	26.7	33.9	30.6	8.81	0.019	7.36E-03	52.6	47.3	79.7	29.8	28.9	33.2	8.03	0.024	9.24E-03	58.6	41.4	20.3	14.6	53.3	20.2	11.9	0	0	29.3	70.7
D31-NODNA-S1.fcs	Donor 31	Activation status	no DNA	0.89	1.58	10.9	86.6	2.71	19.7	5.05	72.5	3.84E-03	33.3	0	0	66.7	33.3	0	0	66.7	100	0.89	1.58	10.9	86.6	2.71	19.7	5.05	72.5
D31-NODNA-S2.fcs	Donor 31	Naive status	no DNA	25.8	32.3	33	8.95	0.027	0.011	54.2	45.8	1.26E-03	0	50	50	0	0	0	50	50	100	25.8	32.3	33	8.95	0.027	0.011	54.2	45.8
D33-DNA-S1.fcs	Donor 33	Activation status	NDG plasmid	0.44	0.6	12.1	86.9	2.7	17.1	6.01	74.2	83.6	0.52	0.68	12.4	86.4	3.13	18.6	5.55	72.7	16.4	0.023	0.18	10.6	89.2	0.5	9.45	8.35	81.7
D33-DNA-S2.fcs	Donor 33	Naive status	NDG plasmid	30.5	27.1	35.4	7.04	0.092	0.019	59.6	40.3	84.2	32.3	23.7	37.6	6.43	0.11	0.022	63.8	36.1	15.8	21.2	45	23.5	10.3	0	0	37.2	62.8
D33-NODNA-S1.fcs	Donor 33	Activation status	no DNA	0.46	0.79	12.1	86.6	2.89	19.4	6.06	71.7	2.12E-03	66.7	0	0	33.3	33.3	33.3	0	33.3	100	0.46	0.79	12.1	86.6	2.89	19.4	6.06	71.7
D33-NODNA-S2.fcs	Donor 33	Naive status	no DNA	30	26.4	36.5	7.15	0.088	0.03	60.2	39.7	4.28E-03	83.3	16.7	0	0	16.7	0	50	33.3	100	30	26.4	36.5	7.15	0.087	0.03	60.2	39.7
